time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,0,1,4,0,0,0,0,0,20,20,24
2,SALR,0,1,4,0,0,0,0,0,19,19,28
3,SALR,0,1,4,0,0,0,0,0,15,15,31
4,SALR,0,1,4,0,0,0,0,0,14,14,35
5,SALR,0,1,4,0,0,0,0,0,15,15,39
6,SALR,0,1,4,0,0,0,0,0,14,14,43
7,SALR,0,1,4,0,0,0,0,0,13,13,45
8,SALR,0,1,4,0,0,0,0,0,12,12,48
9,SALR,0,1,4,0,0,0,0,0,13,13,52
10,SALR,0,1,4,0,0,0,0,0,11,11,56
11,SALR,0,1,4,0,0,0,0,0,9,9,60
12,SALR,0,1,4,0,0,0,0,0,8,8,64
13,SALR,0,1,4,0,0,0,0,0,9,9,68
14,SALR,0,1,4,0,0,0,0,0,12,12,72
15,SALR,0,1,4,0,0,0,0,0,11,11,75
16,SALR,0,1,4,0,0,0,0,0,14,14,79
17,SALR,0,1,4,0,0,0,0,0,13,13,82
18,SALR,0,1,4,0,0,0,0,0,11,11,86
19,SALR,0,1,4,0,0,0,0,0,11,11,89
20,SALR,0,1,4,0,0,0,0,0,11,11,92
21,SALR,0,1,4,0,0,0,0,0,12,12,96
22,SALR,0,1,4,0,0,0,0,0,14,14,100
23,SALR,0,1,4,0,0,0,0,0,15,15,104
24,SALR,0,1,4,0,0,0,0,0,15,15,107
25,SALR,0,1,4,0,0,0,0,0,15,15,110
26,SALR,0,1,4,0,0,0,0,0,14,14,114
27,SALR,0,1,4,0,0,0,0,0,15,15,117
28,SALR,0,1,4,0,0,0,0,0,17,17,121
29,SALR,0,1,4,0,0,0,0,0,15,15,124
30,SALR,0,1,4,0,0,0,0,0,12,12,128
31,SALR,0,1,4,0,0,0,0,0,15,15,132
32,SALR,0,1,4,0,0,0,0,0,13,13,134
33,SALR,0,1,4,0,0,0,0,0,16,16,138
34,SALR,0,1,4,0,0,0,0,0,14,14,141
35,SALR,0,1,4,0,0,0,0,0,14,14,145
36,SALR,0,1,4,0,0,0,0,0,16,16,149
37,SALR,0,1,4,0,0,0,0,0,17,17,152
38,SALR,0,1,4,0,0,0,0,0,20,20,156
39,SALR,0,1,4,0,0,0,0,0,20,20,160
40,SALR,0,1,4,0,0,0,0,0,19,19,164
41,SALR,0,1,4,0,0,0,0,0,18,18,168
42,SALR,0,1,4,0,0,0,0,0,16,16,171
43,SALR,0,1,4,0,0,0,0,0,15,15,175
44,SALR,0,1,4,0,0,0,0,0,18,18,179
45,SALR,0,1,4,0,0,0,0,0,16,16,183
46,SALR,0,1,4,0,0,0,0,0,19,19,187
47,SALR,0,1,4,0,0,0,0,0,19,19,191
48,SALR,0,1,4,0,0,0,0,0,21,21,194
49,SALR,0,1,4,0,0,0,0,0,21,21,198
50,SALR,0,1,4,0,0,0,0,0,17,17,202
51,SALR,0,1,4,0,0,0,0,0,16,16,206
52,SALR,0,1,4,0,0,0,0,0,14,14,210
53,SALR,0,1,4,0,0,0,0,0,17,17,214
54,SALR,0,1,4,0,0,0,0,0,19,19,218
55,SALR,0,1,4,0,0,0,0,0,19,19,222
56,SALR,0,1,4,0,0,0,0,0,18,18,226
57,SALR,0,1,4,0,0,0,0,0,17,17,230
58,SALR,0,1,4,0,0,0,0,0,17,17,234
59,SALR,0,1,4,0,0,0,0,0,19,19,238
60,SALR,0,1,4,0,0,0,0,0,18,18,241
61,SALR,0,1,4,0,0,0,0,0,18,18,244
62,SALR,0,1,4,0,0,0,0,0,20,20,248
63,SALR,0,1,4,0,0,0,0,0,21,21,251
64,SALR,0,1,4,0,0,0,0,0,22,22,255
65,SALR,0,1,4,0,0,0,0,0,20,20,259
66,SALR,0,1,4,0,0,0,0,0,18,18,263
67,SALR,0,1,4,0,0,0,0,0,17,17,267
68,SALR,0,1,4,0,0,0,0,0,18,18,271
69,SALR,0,1,4,0,0,0,0,0,18,18,274
70,SALR,0,1,4,0,0,0,0,0,16,16,278
71,SALR,0,1,4,0,0,0,0,0,18,18,282
72,SALR,0,1,4,0,0,0,0,0,20,20,285
73,SALR,0,1,4,0,0,0,0,0,21,21,289
74,SALR,0,1,4,0,0,0,0,0,21,21,293
75,SALR,0,1,4,0,0,0,0,0,22,22,297
76,SALR,0,1,4,0,0,0,0,0,24,24,301
77,SALR,0,1,4,0,0,0,0,0,19,19,304
78,SALR,0,1,4,0,0,0,0,0,18,18,308
79,SALR,0,1,4,0,0,0,0,0,18,18,312
80,SALR,0,1,4,0,0,0,0,0,20,20,316
81,SALR,0,1,4,0,0,0,0,0,22,22,320
82,SALR,0,1,4,0,0,0,0,0,23,23,324
83,SALR,0,1,4,0,0,0,0,0,23,23,328
84,SALR,0,1,4,0,0,0,0,0,22,22,331
85,SALR,0,1,4,0,0,0,0,0,25,25,335
86,SALR,0,1,4,0,0,0,0,0,22,22,339
87,SALR,0,1,4,0,0,0,0,0,21,21,343
88,SALR,0,1,4,0,0,0,0,0,20,20,347
89,SALR,0,1,4,0,0,0,0,0,21,21,351
90,SALR,0,1,4,0,0,0,0,0,18,18,355
91,SALR,0,1,4,0,0,0,0,0,18,18,358
92,SALR,0,1,4,0,0,0,0,0,16,16,362
93,SALR,0,1,4,0,0,0,0,0,20,20,366
94,SALR,0,1,4,0,0,0,0,0,19,19,370
95,SALR,0,1,4,0,0,0,0,0,19,19,374
96,SALR,0,1,4,0,0,0,0,0,19,19,377
97,SALR,0,1,4,0,0,0,0,0,19,19,381
98,SALR,0,1,4,0,0,0,0,0,20,20,385
99,SALR,0,1,4,0,0,0,0,0,19,19,387
100,SALR,0,1,4,0,0,0,0,0,19,19,391
101,SALR,0,1,4,0,0,0,0,0,20,20,394
102,SALR,0,1,4,0,0,0,0,0,17,17,396
103,SALR,0,1,4,0,0,0,0,0,23,23,400
104,SALR,0,1,4,0,0,0,0,0,21,21,403
105,SALR,0,1,4,0,0,0,0,0,21,21,407
106,SALR,0,1,4,0,0,0,0,0,20,20,411
107,SALR,0,1,4,0,0,0,0,0,22,22,415
108,SALR,0,1,4,0,0,0,0,0,21,21,419
109,SALR,0,1,4,0,0,0,0,0,22,22,422
110,SALR,0,1,4,0,0,0,0,0,23,23,426
111,SALR,0,1,4,0,0,0,0,0,24,24,429
112,SALR,0,1,4,0,0,0,0,0,25,25,433
113,SALR,0,1,4,0,0,0,0,0,23,23,437
114,SALR,0,1,4,0,0,0,0,0,22,22,441
115,SALR,0,1,4,0,0,0,0,0,22,22,445
116,SALR,0,1,4,0,0,0,0,0,21,21,449
117,SALR,0,1,4,0,0,0,0,0,23,23,452
118,SALR,0,1,4,0,0,0,0,0,24,24,456
119,SALR,0,1,4,0,0,0,0,0,24,24,459
120,SALR,0,1,4,0,0,0,0,0,23,23,460
121,SALR,0,1,4,0,0,0,0,0,23,23,463
122,SALR,0,1,4,0,0,0,0,0,22,22,466
123,SALR,0,1,4,0,0,0,0,0,23,23,470
124,SALR,0,1,4,0,0,0,0,0,19,19,473
125,SALR,0,1,4,0,0,0,0,0,22,22,477
126,SALR,0,1,4,0,0,0,0,0,24,24,480
127,SALR,0,1,4,0,0,0,0,0,21,21,484
128,SALR,0,1,4,0,0,0,0,0,23,23,488
129,SALR,0,1,4,0,0,0,0,0,26,26,492
130,SALR,0,1,4,0,0,0,0,0,25,25,494
131,SALR,0,1,4,0,0,0,0,0,27,27,498
132,SALR,0,1,4,0,0,0,0,0,26,26,501
133,SALR,0,1,4,0,0,0,0,0,26,26,503
134,SALR,0,1,4,0,0,0,0,0,29,29,507
135,SALR,0,1,4,0,0,0,0,0,28,28,511
136,SALR,0,1,4,0,0,0,0,0,24,24,512
137,SALR,0,1,4,0,0,0,0,0,26,26,515
138,SALR,0,1,4,0,0,0,0,0,26,26,518
139,SALR,0,1,4,0,0,0,0,0,27,27,522
140,SALR,0,1,4,0,0,0,0,0,25,25,525
141,SALR,0,1,4,0,0,0,0,0,26,26,529
142,SALR,0,1,4,0,0,0,0,0,25,25,531
143,SALR,0,1,4,0,0,0,0,0,26,26,534
144,SALR,0,1,4,0,0,0,0,0,28,28,538
145,SALR,0,1,4,0,0,0,0,0,28,28,542
146,SALR,0,1,4,0,0,0,0,0,28,28,545
