time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,17
2,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
3,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
4,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
5,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
6,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
7,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
8,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
9,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
10,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
11,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
12,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
13,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
14,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
15,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
16,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
17,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
18,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
19,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
20,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
21,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,18
22,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
23,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
24,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
25,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
26,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
27,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
28,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
29,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
30,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
31,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
32,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
33,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
34,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
35,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
36,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,17
37,tolbiac-Italie,1,21,1,0,1,0,0,0,0,1,17
38,tolbiac-Italie,1,21,1,0,1,0,0,0,0,1,17
39,tolbiac-Italie,1,21,1,0,1,0,0,0,0,1,17
40,tolbiac-Italie,1,21,1,0,1,0,0,0,0,1,17
41,tolbiac-Italie,1,21,1,0,1,0,0,0,0,1,17
42,tolbiac-Italie,1,21,1,0,1,0,0,0,1,2,18
