time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,0,1,1,0,0,0,0,0,16,16,19
2,SALR,0,1,1,0,0,0,0,0,8,8,20
3,SALR,0,1,1,0,0,0,0,0,8,8,21
4,SALR,0,1,1,0,0,0,0,0,4,4,22
5,SALR,0,1,1,0,0,0,0,0,4,4,23
6,SALR,0,1,1,0,0,0,0,0,5,5,24
7,SALR,0,1,1,0,0,0,0,0,5,5,25
8,SALR,0,1,1,0,0,0,0,0,6,6,26
9,SALR,0,1,1,0,0,0,0,0,5,5,27
10,SALR,0,1,1,0,0,0,0,0,4,4,28
11,SALR,0,1,1,0,0,0,0,0,5,5,29
12,SALR,0,1,1,0,0,0,0,0,5,5,30
13,SALR,0,1,1,0,0,0,0,0,4,4,31
14,SALR,0,1,1,0,0,0,0,0,3,3,32
15,SALR,0,1,1,0,0,0,0,0,3,3,32
16,SALR,0,1,1,0,0,0,0,0,4,4,33
17,SALR,0,1,1,0,0,0,0,0,3,3,34
18,SALR,0,1,1,0,0,0,0,0,2,2,35
19,SALR,0,1,1,0,0,0,0,0,2,2,36
20,SALR,0,1,1,0,0,0,0,0,3,3,37
21,SALR,0,1,1,0,0,0,0,0,3,3,38
22,SALR,0,1,1,0,0,0,0,0,3,3,38
23,SALR,0,1,1,0,0,0,0,0,2,2,39
24,SALR,0,1,1,0,0,0,0,0,3,3,40
25,SALR,0,1,1,0,0,0,0,0,4,4,41
26,SALR,0,1,1,0,0,0,0,0,1,1,42
27,SALR,0,1,1,0,0,0,0,0,1,1,43
28,SALR,0,1,1,0,0,0,0,0,2,2,44
29,SALR,0,1,1,0,0,0,0,0,2,2,45
30,SALR,0,1,1,0,0,0,0,0,2,2,46
31,SALR,0,1,1,0,0,0,0,0,3,3,47
32,SALR,0,1,1,0,0,0,0,0,2,2,47
33,SALR,0,1,1,0,0,0,0,0,1,1,48
34,SALR,0,1,1,0,0,0,0,0,2,2,49
35,SALR,0,1,1,0,0,0,0,0,2,2,50
36,SALR,0,1,1,0,0,0,0,0,2,2,51
37,SALR,0,1,1,0,0,0,0,0,2,2,52
38,SALR,0,1,1,0,0,0,0,0,3,3,53
39,SALR,0,1,1,0,0,0,0,0,4,4,54
40,SALR,0,1,1,0,0,0,0,0,4,4,55
41,SALR,0,1,1,0,0,0,0,0,4,4,56
42,SALR,0,1,1,0,0,0,0,0,4,4,57
43,SALR,0,1,1,0,0,0,0,0,4,4,58
44,SALR,0,1,1,0,0,0,0,0,5,5,59
45,SALR,0,1,1,0,0,0,0,0,3,3,60
46,SALR,0,1,1,0,0,0,0,0,3,3,61
47,SALR,0,1,1,0,0,0,0,0,3,3,62
48,SALR,0,1,1,0,0,0,0,0,2,2,62
49,SALR,0,1,1,0,0,0,0,0,3,3,63
50,SALR,0,1,1,0,0,0,0,0,4,4,64
51,SALR,0,1,1,0,0,0,0,0,4,4,65
52,SALR,0,1,1,0,0,0,0,0,4,4,66
53,SALR,0,1,1,0,0,0,0,0,4,4,67
54,SALR,0,1,1,0,0,0,0,0,5,5,68
55,SALR,0,1,1,0,0,0,0,0,4,4,69
56,SALR,0,1,1,0,0,0,0,0,3,3,70
57,SALR,0,1,1,0,0,0,0,0,4,4,71
58,SALR,0,1,1,0,0,0,0,0,3,3,72
59,SALR,0,1,1,0,0,0,0,0,4,4,73
60,SALR,0,1,1,0,0,0,0,0,5,5,74
61,SALR,0,1,1,0,0,0,0,0,5,5,75
62,SALR,0,1,1,0,0,0,0,0,4,4,76
63,SALR,0,1,1,0,0,0,0,0,4,4,77
64,SALR,0,1,1,0,0,0,0,0,4,4,78
65,SALR,0,1,1,0,0,0,0,0,4,4,79
66,SALR,0,1,1,0,0,0,0,0,4,4,80
67,SALR,0,1,1,0,0,0,0,0,4,4,81
68,SALR,0,1,1,0,0,0,0,0,4,4,81
69,SALR,0,1,1,0,0,0,0,0,3,3,82
70,SALR,0,1,1,0,0,0,0,0,3,3,83
71,SALR,0,1,1,0,0,0,0,0,4,4,84
72,SALR,0,1,1,0,0,0,0,0,4,4,84
73,SALR,0,1,1,0,0,0,0,0,3,3,85
74,SALR,0,1,1,0,0,0,0,0,3,3,86
75,SALR,0,1,1,0,0,0,0,0,3,3,87
76,SALR,0,1,1,0,0,0,0,0,3,3,88
77,SALR,0,1,1,0,0,0,0,0,4,4,89
78,SALR,0,1,1,0,0,0,0,0,4,4,90
79,SALR,0,1,1,0,0,0,0,0,5,5,91
80,SALR,0,1,1,0,0,0,0,0,5,5,92
81,SALR,0,1,1,0,0,0,0,0,5,5,93
82,SALR,0,1,1,0,0,0,0,0,3,3,93
83,SALR,0,1,1,0,0,0,0,0,3,3,94
84,SALR,0,1,1,0,0,0,0,0,4,4,95
85,SALR,0,1,1,0,0,0,0,0,4,4,96
86,SALR,0,1,1,0,0,0,0,0,4,4,97
87,SALR,0,1,1,0,0,0,0,0,3,3,98
88,SALR,0,1,1,0,0,0,0,0,3,3,99
89,SALR,0,1,1,0,0,0,0,0,3,3,100
90,SALR,0,1,1,0,0,0,0,0,4,4,101
91,SALR,0,1,1,0,0,0,0,0,5,5,102
92,SALR,0,1,1,0,0,0,0,0,6,6,103
93,SALR,0,1,1,0,0,0,0,0,5,5,104
94,SALR,0,1,1,0,0,0,0,0,5,5,105
95,SALR,0,1,1,0,0,0,0,0,6,6,106
96,SALR,0,1,1,0,0,0,0,0,7,7,107
97,SALR,0,1,1,0,0,0,0,0,6,6,108
98,SALR,0,1,1,0,0,0,0,0,4,4,108
99,SALR,0,1,1,0,0,0,0,0,4,4,109
100,SALR,0,1,1,0,0,0,0,0,4,4,110
101,SALR,0,1,1,0,0,0,0,0,5,5,111
102,SALR,0,1,1,0,0,0,0,0,5,5,112
103,SALR,0,1,1,0,0,0,0,0,5,5,113
104,SALR,0,1,1,0,0,0,0,0,4,4,113
105,SALR,0,1,1,0,0,0,0,0,4,4,114
106,SALR,0,1,1,0,0,0,0,0,4,4,115
107,SALR,0,1,1,0,0,0,0,0,4,4,116
108,SALR,0,1,1,0,0,0,0,0,4,4,117
109,SALR,0,1,1,0,0,0,0,0,5,5,118
110,SALR,0,1,1,0,0,0,0,0,4,4,119
111,SALR,0,1,1,0,0,0,0,0,4,4,120
112,SALR,0,1,1,0,0,0,0,0,5,5,121
113,SALR,0,1,1,0,0,0,0,0,5,5,122
114,SALR,0,1,1,0,0,0,0,0,3,3,123
115,SALR,0,1,1,0,0,0,0,0,4,4,124
116,SALR,0,1,1,0,0,0,0,0,5,5,125
117,SALR,0,1,1,0,0,0,0,0,6,6,126
118,SALR,0,1,1,0,0,0,0,0,6,6,127
119,SALR,0,1,1,0,0,0,0,0,6,6,128
120,SALR,0,1,1,0,0,0,0,0,5,5,128
121,SALR,0,1,1,0,0,0,0,0,5,5,129
122,SALR,0,1,1,0,0,0,0,0,5,5,130
123,SALR,0,1,1,0,0,0,0,0,5,5,131
124,SALR,0,1,1,0,0,0,0,0,3,3,132
125,SALR,0,1,1,0,0,0,0,0,3,3,133
126,SALR,0,1,1,0,0,0,0,0,4,4,134
127,SALR,0,1,1,0,0,0,0,0,5,5,135
128,SALR,0,1,1,0,0,0,0,0,4,4,135
129,SALR,0,1,1,0,0,0,0,0,4,4,136
130,SALR,0,1,1,0,0,0,0,0,4,4,137
131,SALR,0,1,1,0,0,0,0,0,5,5,138
