time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,0,1,1,0,0,0,0,0,15,15,20
2,SALR,0,1,1,0,0,0,0,0,12,12,21
3,SALR,0,1,1,0,0,0,0,0,10,10,22
4,SALR,0,1,1,0,0,0,0,0,7,7,23
5,SALR,0,1,1,0,0,0,0,0,6,6,24
6,SALR,0,1,1,0,0,0,0,0,6,6,25
7,SALR,0,1,1,0,0,0,0,0,5,5,26
8,SALR,0,1,1,0,0,0,0,0,4,4,27
9,SALR,0,1,1,0,0,0,0,0,4,4,28
10,SALR,0,1,1,0,0,0,0,0,4,4,29
11,SALR,0,1,1,0,0,0,0,0,5,5,30
12,SALR,0,1,1,0,0,0,0,0,4,4,31
13,SALR,0,1,1,0,0,0,0,0,3,3,32
14,SALR,0,1,1,0,0,0,0,0,3,3,33
15,SALR,0,1,1,0,0,0,0,0,4,4,34
16,SALR,0,1,1,0,0,0,0,0,4,4,35
17,SALR,0,1,1,0,0,0,0,0,4,4,36
18,SALR,0,1,1,0,0,0,0,0,4,4,37
19,SALR,0,1,1,0,0,0,0,0,4,4,38
20,SALR,0,1,1,0,0,0,0,0,3,3,39
21,SALR,0,1,1,0,0,0,0,0,3,3,40
22,SALR,0,1,1,0,0,0,0,0,3,3,41
23,SALR,0,1,1,0,0,0,0,0,4,4,42
24,SALR,0,1,1,0,0,0,0,0,3,3,43
25,SALR,0,1,1,0,0,0,0,0,3,3,44
26,SALR,0,1,1,0,0,0,0,0,4,4,45
27,SALR,0,1,1,0,0,0,0,0,4,4,46
28,SALR,0,1,1,0,0,0,0,0,4,4,47
29,SALR,0,1,1,0,0,0,0,0,2,2,48
30,SALR,0,1,1,0,0,0,0,0,3,3,49
31,SALR,0,1,1,0,0,0,0,0,3,3,49
32,SALR,0,1,1,0,0,0,0,0,4,4,50
33,SALR,0,1,1,0,0,0,0,0,4,4,51
34,SALR,0,1,1,0,0,0,0,0,4,4,52
35,SALR,0,1,1,0,0,0,0,0,4,4,53
36,SALR,0,1,1,0,0,0,0,0,5,5,54
37,SALR,0,1,1,0,0,0,0,0,5,5,55
38,SALR,0,1,1,0,0,0,0,0,6,6,56
39,SALR,0,1,1,0,0,0,0,0,7,7,57
40,SALR,0,1,1,0,0,0,0,0,6,6,58
41,SALR,0,1,1,0,0,0,0,0,6,6,59
42,SALR,0,1,1,0,0,0,0,0,6,6,60
43,SALR,0,1,1,0,0,0,0,0,7,7,61
44,SALR,0,1,1,0,0,0,0,0,6,6,62
45,SALR,0,1,1,0,0,0,0,0,6,6,63
46,SALR,0,1,1,0,0,0,0,0,5,5,64
47,SALR,0,1,1,0,0,0,0,0,5,5,65
48,SALR,0,1,1,0,0,0,0,0,4,4,66
49,SALR,0,1,1,0,0,0,0,0,4,4,67
50,SALR,0,1,1,0,0,0,0,0,4,4,68
51,SALR,0,1,1,0,0,0,0,0,3,3,69
52,SALR,0,1,1,0,0,0,0,0,3,3,70
53,SALR,0,1,1,0,0,0,0,0,3,3,71
54,SALR,0,1,1,0,0,0,0,0,3,3,72
55,SALR,0,1,1,0,0,0,0,0,3,3,73
56,SALR,0,1,1,0,0,0,0,0,4,4,74
57,SALR,0,1,1,0,0,0,0,0,5,5,75
58,SALR,0,1,1,0,0,0,0,0,6,6,76
59,SALR,0,1,1,0,0,0,0,0,6,6,77
60,SALR,0,1,1,0,0,0,0,0,6,6,78
61,SALR,0,1,1,0,0,0,0,0,6,6,79
62,SALR,0,1,1,0,0,0,0,0,6,6,80
63,SALR,0,1,1,0,0,0,0,0,7,7,81
64,SALR,0,1,1,0,0,0,0,0,5,5,81
65,SALR,0,1,1,0,0,0,0,0,4,4,82
66,SALR,0,1,1,0,0,0,0,0,5,5,83
67,SALR,0,1,1,0,0,0,0,0,4,4,84
68,SALR,0,1,1,0,0,0,0,0,4,4,85
69,SALR,0,1,1,0,0,0,0,0,5,5,86
70,SALR,0,1,1,0,0,0,0,0,5,5,87
71,SALR,0,1,1,0,0,0,0,0,4,4,88
72,SALR,0,1,1,0,0,0,0,0,4,4,89
73,SALR,0,1,1,0,0,0,0,0,3,3,90
74,SALR,0,1,1,0,0,0,0,0,4,4,91
75,SALR,0,1,1,0,0,0,0,0,5,5,92
76,SALR,0,1,1,0,0,0,0,0,5,5,93
77,SALR,0,1,1,0,0,0,0,0,5,5,94
78,SALR,0,1,1,0,0,0,0,0,6,6,95
79,SALR,0,1,1,0,0,0,0,0,7,7,96
80,SALR,0,1,1,0,0,0,0,0,7,7,97
81,SALR,0,1,1,0,0,0,0,0,7,7,98
82,SALR,0,1,1,0,0,0,0,0,6,6,99
83,SALR,0,1,1,0,0,0,0,0,6,6,100
84,SALR,0,1,1,0,0,0,0,0,7,7,101
85,SALR,0,1,1,0,0,0,0,0,6,6,101
86,SALR,0,1,1,0,0,0,0,0,5,5,102
87,SALR,0,1,1,0,0,0,0,0,5,5,103
88,SALR,0,1,1,0,0,0,0,0,5,5,103
89,SALR,0,1,1,0,0,0,0,0,4,4,104
90,SALR,0,1,1,0,0,0,0,0,5,5,105
91,SALR,0,1,1,0,0,0,0,0,5,5,106
92,SALR,0,1,1,0,0,0,0,0,6,6,107
93,SALR,0,1,1,0,0,0,0,0,5,5,108
94,SALR,0,1,1,0,0,0,0,0,5,5,109
95,SALR,0,1,1,0,0,0,0,0,6,6,110
96,SALR,0,1,1,0,0,0,0,0,9,9,111
97,SALR,0,1,1,0,0,0,0,0,7,7,112
98,SALR,0,1,1,0,0,0,0,0,7,7,112
99,SALR,0,1,1,0,0,0,0,0,6,6,113
100,SALR,0,1,1,0,0,0,0,0,6,6,114
101,SALR,0,1,1,0,0,0,0,0,5,5,115
102,SALR,0,1,1,0,0,0,0,0,6,6,116
103,SALR,0,1,1,0,0,0,0,0,6,6,117
104,SALR,0,1,1,0,0,0,0,0,6,6,118
105,SALR,0,1,1,0,0,0,0,0,6,6,119
106,SALR,0,1,1,0,0,0,0,0,7,7,120
107,SALR,0,1,1,0,0,0,0,0,7,7,121
108,SALR,0,1,1,0,0,0,0,0,8,8,122
109,SALR,0,1,1,0,0,0,0,0,6,6,123
110,SALR,0,1,1,0,0,0,0,0,7,7,123
111,SALR,0,1,1,0,0,0,0,0,8,8,124
112,SALR,0,1,1,0,0,0,0,0,7,7,125
113,SALR,0,1,1,0,0,0,0,0,6,6,126
114,SALR,0,1,1,0,0,0,0,0,6,6,127
115,SALR,0,1,1,0,0,0,0,0,6,6,128
116,SALR,0,1,1,0,0,0,0,0,5,5,129
117,SALR,0,1,1,0,0,0,0,0,5,5,130
118,SALR,0,1,1,0,0,0,0,0,6,6,131
119,SALR,0,1,1,0,0,0,0,0,6,6,132
120,SALR,0,1,1,0,0,0,0,0,8,8,133
121,SALR,0,1,1,0,0,0,0,0,8,8,134
122,SALR,0,1,1,0,0,0,0,0,9,9,135
123,SALR,0,1,1,0,0,0,0,0,8,8,136
124,SALR,0,1,1,0,0,0,0,0,7,7,135
125,SALR,0,1,1,0,0,0,0,0,5,5,136
126,SALR,0,1,1,0,0,0,0,0,7,7,137
127,SALR,0,1,1,0,0,0,0,0,5,5,138
128,SALR,0,1,1,0,0,0,0,0,7,7,139
129,SALR,0,1,1,0,0,0,0,0,6,6,140
130,SALR,0,1,1,0,0,0,0,0,7,7,141
131,SALR,0,1,1,0,0,0,0,0,7,7,142
132,SALR,0,1,1,0,0,0,0,0,8,8,141
133,SALR,0,1,1,0,0,0,0,0,8,8,142
134,SALR,0,1,1,0,0,0,0,0,8,8,143
135,SALR,0,1,1,0,0,0,0,0,8,8,144
136,SALR,0,1,1,0,0,0,0,0,9,9,145
137,SALR,0,1,1,0,0,0,0,0,9,9,146
138,SALR,0,1,1,0,0,0,0,0,11,11,147
139,SALR,0,1,1,0,0,0,0,0,10,10,148
140,SALR,0,1,1,0,0,0,0,0,10,10,149
141,SALR,0,1,1,0,0,0,0,0,9,9,150
142,SALR,0,1,1,0,0,0,0,0,9,9,151
143,SALR,0,1,1,0,0,0,0,0,8,8,152
144,SALR,0,1,1,0,0,0,0,0,7,7,153
145,SALR,0,1,1,0,0,0,0,0,8,8,154
146,SALR,0,1,1,0,0,0,0,0,8,8,155
147,SALR,0,1,1,0,0,0,0,0,9,9,156
148,SALR,0,1,1,0,0,0,0,0,9,9,157
149,SALR,0,1,1,0,0,0,0,0,7,7,158
150,SALR,0,1,1,0,0,0,0,0,8,8,159
151,SALR,0,1,1,0,0,0,0,0,9,9,160
152,SALR,0,1,1,0,0,0,0,0,10,10,161
153,SALR,0,1,1,0,0,0,0,0,10,10,162
154,SALR,0,1,1,0,0,0,0,0,8,8,163
155,SALR,0,1,1,0,0,0,0,0,9,9,164
156,SALR,0,1,1,0,0,0,0,0,9,9,165
157,SALR,0,1,1,0,0,0,0,0,9,9,165
158,SALR,0,1,1,0,0,0,0,0,8,8,166
159,SALR,0,1,1,0,0,0,0,0,8,8,167
160,SALR,0,1,1,0,0,0,0,0,8,8,168
161,SALR,0,1,1,0,0,0,0,0,10,10,169
162,SALR,0,1,1,0,0,0,0,0,9,9,170
163,SALR,0,1,1,0,0,0,0,0,10,10,171
164,SALR,0,1,1,0,0,0,0,0,9,9,171
165,SALR,0,1,1,0,0,0,0,0,11,11,172
166,SALR,0,1,1,0,0,0,0,0,9,9,172
167,SALR,0,1,1,0,0,0,0,0,11,11,173
168,SALR,0,1,1,0,0,0,0,0,7,7,174
169,SALR,0,1,1,0,0,0,0,0,10,10,175
170,SALR,0,1,1,0,0,0,0,0,9,9,175
171,SALR,0,1,1,0,0,0,0,0,10,10,176
172,SALR,0,1,1,0,0,0,0,0,9,9,177
173,SALR,0,1,1,0,0,0,0,0,12,12,178
174,SALR,0,1,1,0,0,0,0,0,11,11,178
175,SALR,0,1,1,0,0,0,0,0,11,11,179
176,SALR,0,1,1,0,0,0,0,0,10,10,180
177,SALR,0,1,1,0,0,0,0,0,11,11,181
178,SALR,0,1,1,0,0,0,0,0,9,9,180
179,SALR,0,1,1,0,0,0,0,0,10,10,180
180,SALR,0,1,1,0,0,0,0,0,10,10,180
181,SALR,0,1,1,0,0,0,0,0,12,12,180
182,SALR,0,1,1,0,0,0,0,0,10,10,181
183,SALR,0,1,1,0,0,0,0,0,13,13,182
184,SALR,0,1,1,0,0,0,0,0,11,11,183
185,SALR,0,1,1,0,0,0,0,0,13,13,184
186,SALR,0,1,1,0,0,0,0,0,11,11,185
187,SALR,0,1,1,0,0,0,0,0,12,12,185
188,SALR,0,1,1,0,0,0,0,0,9,9,186
189,SALR,0,1,1,0,0,0,0,0,13,13,187
190,SALR,0,1,1,0,0,0,0,0,11,11,187
191,SALR,0,1,1,0,0,0,0,0,15,15,188
192,SALR,0,1,1,0,0,0,0,0,10,10,187
193,SALR,0,1,1,0,0,0,0,0,12,12,188
194,SALR,0,1,1,0,0,0,0,0,10,10,189
195,SALR,0,1,1,0,0,0,0,0,13,13,190
196,SALR,0,1,1,0,0,0,0,0,13,13,191
197,SALR,0,1,1,0,0,0,0,0,11,11,190
198,SALR,0,1,1,0,0,0,0,0,10,10,191
199,SALR,0,1,1,0,0,0,0,0,12,12,192
200,SALR,0,1,1,0,0,0,0,0,8,8,192
201,SALR,0,1,1,0,0,0,0,0,10,10,192
202,SALR,0,1,1,0,0,0,0,0,8,8,192
203,SALR,0,1,1,0,0,0,0,0,11,11,193
204,SALR,0,1,1,0,0,0,0,0,9,9,194
205,SALR,0,1,1,0,0,0,0,0,11,11,195
206,SALR,0,1,1,0,0,0,0,0,11,11,196
207,SALR,0,1,1,0,0,0,0,0,13,13,196
208,SALR,0,1,1,0,0,0,0,0,11,11,197
209,SALR,0,1,1,0,0,0,0,0,13,13,198
210,SALR,0,1,1,0,0,0,0,0,11,11,199
211,SALR,0,1,1,0,0,0,0,0,14,14,200
212,SALR,0,1,1,0,0,0,0,0,12,12,201
213,SALR,0,1,1,0,0,0,0,0,13,13,202
214,SALR,0,1,1,0,0,0,0,0,12,12,203
215,SALR,0,1,1,0,0,0,0,0,16,16,204
216,SALR,0,1,1,0,0,0,0,0,15,15,205
217,SALR,0,1,1,0,0,0,0,0,15,15,206
218,SALR,0,1,1,0,0,0,0,0,11,11,207
219,SALR,0,1,1,0,0,0,0,0,14,14,208
220,SALR,0,1,1,0,0,0,0,0,12,12,208
221,SALR,0,1,1,0,0,0,0,0,10,10,209
222,SALR,0,1,1,0,0,0,0,0,8,8,210
223,SALR,0,1,1,0,0,0,0,0,11,11,210
224,SALR,0,1,1,0,0,0,0,0,8,8,210
225,SALR,0,1,1,0,0,0,0,0,10,10,211
226,SALR,0,1,1,0,0,0,0,0,7,7,212
227,SALR,0,1,1,0,0,0,0,0,7,7,213
228,SALR,0,1,1,0,0,0,0,0,7,7,214
229,SALR,0,1,1,0,0,0,0,0,9,9,214
230,SALR,0,1,1,0,0,0,0,0,9,9,215
231,SALR,0,1,1,0,0,0,0,0,11,11,215
232,SALR,0,1,1,0,0,0,0,0,8,8,214
233,SALR,0,1,1,0,0,0,0,0,12,12,215
234,SALR,0,1,1,0,0,0,0,0,11,11,214
235,SALR,0,1,1,0,0,0,0,0,13,13,215
236,SALR,0,1,1,0,0,0,0,0,11,11,216
237,SALR,0,1,1,0,0,0,0,0,12,12,217
238,SALR,0,1,1,0,0,0,0,0,10,10,217
239,SALR,0,1,1,0,0,0,0,0,11,11,218
240,SALR,0,1,1,0,0,0,0,0,8,8,219
241,SALR,0,1,1,0,0,0,0,0,8,8,219
242,SALR,0,1,1,0,0,0,0,0,8,8,220
243,SALR,0,1,1,0,0,0,0,0,9,9,221
244,SALR,0,1,1,0,0,0,0,0,9,9,222
245,SALR,0,1,1,0,0,0,0,0,8,8,222
246,SALR,0,1,1,0,0,0,0,0,9,9,223
247,SALR,0,1,1,0,0,0,0,0,9,9,223
248,SALR,0,1,1,0,0,0,0,0,9,9,224
249,SALR,0,1,1,0,0,0,0,0,10,10,225
250,SALR,0,1,1,0,0,0,0,0,9,9,226
251,SALR,0,1,1,0,0,0,0,0,9,9,226
252,SALR,0,1,1,0,0,0,0,0,10,10,227
253,SALR,0,1,1,0,0,0,0,0,7,7,226
254,SALR,0,1,1,0,0,0,0,0,7,7,226
255,SALR,0,1,1,0,0,0,0,0,8,8,227
256,SALR,0,1,1,0,0,0,0,0,6,6,227
257,SALR,0,1,1,0,0,0,0,0,7,7,228
258,SALR,0,1,1,0,0,0,0,0,8,8,229
259,SALR,0,1,1,0,0,0,0,0,8,8,230
260,SALR,0,1,1,0,0,0,0,0,9,9,231
261,SALR,0,1,1,0,0,0,0,0,9,9,232
262,SALR,0,1,1,0,0,0,0,0,8,8,232
263,SALR,0,1,1,0,0,0,0,0,8,8,233
264,SALR,0,1,1,0,0,0,0,0,8,8,234
265,SALR,0,1,1,0,0,0,0,0,9,9,235
266,SALR,0,1,1,0,0,0,0,0,10,10,236
267,SALR,0,1,1,0,0,0,0,0,8,8,237
268,SALR,0,1,1,0,0,0,0,0,9,9,237
269,SALR,0,1,1,0,0,0,0,0,9,9,238
270,SALR,0,1,1,0,0,0,0,0,8,8,238
271,SALR,0,1,1,0,0,0,0,0,8,8,239
272,SALR,0,1,1,0,0,0,0,0,10,10,240
273,SALR,0,1,1,0,0,0,0,0,10,10,241
274,SALR,0,1,1,0,0,0,0,0,12,12,242
275,SALR,0,1,1,0,0,0,0,0,9,9,242
276,SALR,0,1,1,0,0,0,0,0,8,8,243
277,SALR,0,1,1,0,0,0,0,0,9,9,244
278,SALR,0,1,1,0,0,0,0,0,9,9,245
279,SALR,0,1,1,0,0,0,0,0,9,9,246
280,SALR,0,1,1,0,0,0,0,0,8,8,247
281,SALR,0,1,1,0,0,0,0,0,7,7,248
282,SALR,0,1,1,0,0,0,0,0,7,7,249
283,SALR,0,1,1,0,0,0,0,0,8,8,250
