time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,Rivoli-Louvre,1,5,11,0,0,0,0,0,8,8,17
2,Rivoli-Louvre,1,5,11,0,0,0,0,0,7,7,17
3,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,17
4,Rivoli-Louvre,1,5,11,0,0,0,0,0,5,5,17
5,Rivoli-Louvre,1,5,11,0,0,0,0,0,16,16,28
6,Rivoli-Louvre,1,5,11,0,0,0,0,0,8,8,27
7,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,27
8,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,27
9,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,27
10,Rivoli-Louvre,1,5,11,0,0,0,0,0,14,14,38
11,Rivoli-Louvre,1,5,11,0,0,0,0,0,5,5,35
12,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,35
13,Rivoli-Louvre,1,5,11,0,0,0,0,0,2,2,35
14,Rivoli-Louvre,1,5,11,0,0,0,0,0,2,2,35
15,Rivoli-Louvre,1,5,11,0,0,0,0,0,13,13,46
16,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,45
17,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,45
18,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,45
19,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,45
20,Rivoli-Louvre,1,5,11,0,0,0,0,0,15,15,56
21,Rivoli-Louvre,1,5,11,0,0,0,0,0,8,8,55
22,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,55
23,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,55
24,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,55
25,Rivoli-Louvre,1,5,11,0,0,0,0,0,15,15,66
26,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,63
27,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,63
28,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,63
29,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,63
30,Rivoli-Louvre,1,5,11,0,0,0,0,0,14,14,74
31,Rivoli-Louvre,1,5,11,0,0,0,0,0,5,5,74
32,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,74
33,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,74
34,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,74
35,Rivoli-Louvre,1,5,11,0,0,0,0,0,14,14,85
36,Rivoli-Louvre,1,5,11,0,0,0,0,0,5,5,82
37,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,82
38,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,82
39,Rivoli-Louvre,1,5,11,0,0,0,0,0,3,3,82
40,Rivoli-Louvre,1,5,11,0,0,0,0,0,14,14,93
41,Rivoli-Louvre,1,5,11,0,0,0,0,0,7,7,91
42,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,91
43,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,91
44,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,91
45,Rivoli-Louvre,1,5,11,0,0,0,0,0,15,15,102
46,Rivoli-Louvre,1,5,11,0,0,0,0,0,8,8,100
47,Rivoli-Louvre,1,5,11,0,0,0,0,0,7,7,100
48,Rivoli-Louvre,1,5,11,0,0,0,0,0,7,7,100
49,Rivoli-Louvre,1,5,11,0,0,0,0,0,5,5,100
50,Rivoli-Louvre,1,5,11,0,0,0,0,0,16,16,111
51,Rivoli-Louvre,1,5,11,0,0,0,0,0,6,6,109
52,Rivoli-Louvre,1,5,11,0,0,0,0,0,4,4,109
53,Rivoli-Louvre,1,5,11,0,1,0,0,0,4,5,109
54,Rivoli-Louvre,1,5,11,0,1,0,0,0,4,5,109
55,Rivoli-Louvre,1,5,11,0,1,0,0,0,14,15,120
56,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,118
57,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,118
58,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,118
59,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,118
60,Rivoli-Louvre,1,5,11,0,0,0,1,0,13,14,129
61,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,128
62,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,128
63,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,128
64,Rivoli-Louvre,1,5,11,0,0,0,1,0,2,3,128
65,Rivoli-Louvre,1,5,11,0,0,0,1,0,13,14,139
66,Rivoli-Louvre,1,5,11,0,0,0,1,0,7,8,138
67,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,138
68,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,138
69,Rivoli-Louvre,1,5,11,0,0,0,1,0,2,3,138
70,Rivoli-Louvre,1,5,11,0,0,0,1,0,13,14,149
71,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,148
72,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,148
73,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,148
74,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,148
75,Rivoli-Louvre,1,5,11,0,0,0,1,0,14,15,159
76,Rivoli-Louvre,1,5,11,0,0,0,1,0,6,7,158
77,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,158
78,Rivoli-Louvre,1,5,11,0,0,0,1,0,4,5,158
79,Rivoli-Louvre,1,5,11,0,0,0,1,0,3,4,158
80,Rivoli-Louvre,1,5,11,0,0,0,1,0,14,15,169
81,Rivoli-Louvre,1,5,11,0,0,0,1,0,5,6,168
82,Rivoli-Louvre,1,5,11,0,2,0,1,0,3,6,168
83,Rivoli-Louvre,1,5,11,0,2,0,1,0,3,6,168
84,Rivoli-Louvre,1,5,11,0,2,0,1,0,2,5,168
85,Rivoli-Louvre,1,5,11,0,2,0,2,0,13,17,179
86,Rivoli-Louvre,1,5,11,0,2,0,2,0,6,10,178
87,Rivoli-Louvre,1,5,11,0,2,0,1,1,6,10,178
88,Rivoli-Louvre,1,5,11,0,2,0,1,1,5,9,178
89,Rivoli-Louvre,1,5,11,0,2,1,1,1,5,10,178
90,Rivoli-Louvre,1,5,11,0,2,1,1,0,15,19,189
91,Rivoli-Louvre,1,5,11,0,2,1,1,1,9,14,189
92,Rivoli-Louvre,1,5,11,0,2,0,1,2,5,10,188
93,Rivoli-Louvre,1,5,11,0,2,0,1,2,5,10,188
