time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,19
2,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,20
3,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,21
4,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,22
5,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,23
6,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,24
7,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,25
8,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,26
9,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,27
10,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,27
11,tolbiac-Italie,1,1,1,0,0,0,0,0,6,6,28
12,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,29
13,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,30
14,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,31
15,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,32
16,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,33
17,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,34
18,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,35
19,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,36
20,tolbiac-Italie,1,1,1,0,0,0,1,0,6,7,37
21,tolbiac-Italie,1,1,1,0,0,0,1,0,6,7,37
22,tolbiac-Italie,1,1,1,0,0,0,1,0,5,6,38
23,tolbiac-Italie,1,1,1,0,0,0,1,0,5,6,39
24,tolbiac-Italie,1,1,1,0,0,0,1,0,5,6,40
25,tolbiac-Italie,1,1,1,0,0,0,1,0,6,7,41
26,tolbiac-Italie,1,1,1,0,0,0,1,0,5,6,42
27,tolbiac-Italie,1,1,1,0,1,0,0,0,5,6,43
28,tolbiac-Italie,1,1,1,0,1,0,0,0,6,7,44
29,tolbiac-Italie,1,1,1,0,1,0,0,0,6,7,45
30,tolbiac-Italie,1,1,1,0,1,0,0,0,6,7,46
31,tolbiac-Italie,1,1,1,0,1,0,0,0,6,7,47
32,tolbiac-Italie,1,1,1,0,1,0,0,0,4,5,48
33,tolbiac-Italie,1,1,1,0,1,0,0,0,4,5,49
34,tolbiac-Italie,1,1,1,0,1,0,0,0,5,6,50
35,tolbiac-Italie,1,1,1,0,1,0,0,0,5,6,51
36,tolbiac-Italie,1,1,1,0,1,0,0,0,3,4,52
37,tolbiac-Italie,1,1,1,0,1,0,0,0,3,4,53
38,tolbiac-Italie,1,1,1,0,1,0,0,0,4,5,54
39,tolbiac-Italie,1,1,1,0,1,0,0,0,5,6,55
40,tolbiac-Italie,1,1,1,0,1,0,0,0,3,4,56
41,tolbiac-Italie,1,1,1,0,1,0,0,0,3,4,56
42,tolbiac-Italie,1,1,1,0,1,0,0,0,2,3,57
43,tolbiac-Italie,1,1,1,0,1,0,0,0,2,3,58
44,tolbiac-Italie,1,1,1,0,1,0,0,0,2,3,58
45,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,59
46,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,60
47,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,61
48,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,62
49,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,63
50,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,64
51,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,65
52,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,66
53,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,67
54,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,68
55,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,69
56,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,70
57,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,71
58,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,72
59,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,73
60,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,74
61,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,75
62,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,75
63,tolbiac-Italie,1,1,1,0,2,0,0,0,5,7,76
64,tolbiac-Italie,1,1,1,0,2,0,0,0,5,7,77
65,tolbiac-Italie,1,1,1,0,2,0,0,0,5,7,78
66,tolbiac-Italie,1,1,1,0,3,0,0,0,5,8,79
67,tolbiac-Italie,1,1,1,0,3,0,0,0,6,9,80
68,tolbiac-Italie,1,1,1,0,3,0,0,0,5,8,81
69,tolbiac-Italie,1,1,1,0,3,0,0,0,5,8,82
70,tolbiac-Italie,1,1,1,0,4,0,0,0,5,9,83
71,tolbiac-Italie,1,1,1,0,3,1,0,0,5,9,84
72,tolbiac-Italie,1,1,1,0,3,1,0,0,5,9,85
73,tolbiac-Italie,1,1,1,0,3,1,0,0,5,9,86
74,tolbiac-Italie,1,1,1,0,3,1,0,0,5,9,87
75,tolbiac-Italie,1,1,1,0,3,1,0,0,6,10,88
76,tolbiac-Italie,1,1,1,0,3,1,0,0,5,9,89
77,tolbiac-Italie,1,1,1,0,3,1,0,0,4,8,90
78,tolbiac-Italie,1,1,1,0,3,1,0,0,4,8,91
79,tolbiac-Italie,1,1,1,0,4,1,0,0,4,9,92
80,tolbiac-Italie,1,1,1,0,4,1,0,0,5,10,93
