time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,21,1,0,0,0,0,0,5,5,20
2,tolbiac-Italie,1,21,1,0,0,0,0,0,4,4,20
3,tolbiac-Italie,1,21,1,0,0,0,0,0,3,3,20
4,tolbiac-Italie,1,21,1,0,0,0,0,0,3,3,20
5,tolbiac-Italie,1,21,1,0,0,0,0,0,3,3,20
6,tolbiac-Italie,1,21,1,0,0,0,0,0,2,2,20
7,tolbiac-Italie,1,21,1,0,0,0,0,0,2,2,20
8,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
9,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
10,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
11,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
12,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
13,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
14,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
15,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
16,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
17,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
18,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
19,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
20,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
21,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,21
22,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,21
23,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
24,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
25,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
26,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
27,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
28,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
29,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
30,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
31,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
32,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
33,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
34,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
35,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
36,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
37,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
38,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
39,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
40,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
41,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,21
42,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,22
43,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,22
44,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,22
45,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
46,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
47,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
48,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
49,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
50,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
51,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
52,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
53,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
54,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
55,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
56,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
57,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
58,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
59,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
60,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
61,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
62,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,22
63,tolbiac-Italie,1,21,1,0,2,0,0,0,1,3,23
64,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
65,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
66,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
67,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
68,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
69,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
70,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
71,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
72,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
73,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
74,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
75,tolbiac-Italie,1,21,1,0,2,0,0,0,0,2,23
