time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,18
2,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
3,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
4,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
5,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
6,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
7,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
8,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
9,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
10,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
11,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
12,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
13,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
14,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
15,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
16,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
17,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
18,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
19,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
20,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,18
21,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,19
22,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
23,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
24,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
25,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
26,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
27,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
28,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
29,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
30,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
31,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
32,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
33,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
34,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
35,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
36,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
37,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
38,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
39,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
40,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
41,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,19
42,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
43,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
44,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
45,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
46,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
47,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
48,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
49,tolbiac-Italie,1,21,1,0,0,0,0,0,1,1,20
50,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
51,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
52,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
53,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
54,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
55,tolbiac-Italie,1,21,1,0,0,0,0,0,0,0,20
56,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
57,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
58,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
59,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
60,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
61,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
62,tolbiac-Italie,1,21,1,0,0,0,1,0,0,1,20
63,tolbiac-Italie,1,21,1,0,2,0,0,0,1,3,21
64,tolbiac-Italie,1,21,1,0,3,0,0,0,0,3,21
