time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,0,1,1,0,0,0,0,0,15,15,19
2,SALR,0,1,1,0,0,0,0,0,9,9,20
3,SALR,0,1,1,0,0,0,0,0,7,7,21
4,SALR,0,1,1,0,0,0,0,0,6,6,22
5,SALR,0,1,1,0,0,0,0,0,5,5,23
6,SALR,0,1,1,0,0,0,0,0,4,4,23
7,SALR,0,1,1,0,0,0,0,0,5,5,24
8,SALR,0,1,1,0,0,0,0,0,4,4,25
9,SALR,0,1,1,0,0,0,0,0,3,3,26
10,SALR,0,1,1,0,0,0,0,0,4,4,27
11,SALR,0,1,1,0,0,0,0,0,4,4,28
12,SALR,0,1,1,0,0,0,0,0,3,3,29
13,SALR,0,1,1,0,0,0,0,0,3,3,30
14,SALR,0,1,1,0,0,0,0,0,4,4,31
15,SALR,0,1,1,0,0,0,0,0,3,3,32
16,SALR,0,1,1,0,0,0,0,0,4,4,33
17,SALR,0,1,1,0,0,0,0,0,3,3,34
18,SALR,0,1,1,0,0,0,0,0,2,2,35
19,SALR,0,1,1,0,0,0,0,0,2,2,36
20,SALR,0,1,1,0,0,0,0,0,3,3,37
21,SALR,0,1,1,0,0,0,0,0,3,3,38
22,SALR,0,1,1,0,0,0,0,0,4,4,39
23,SALR,0,1,1,0,0,0,0,0,3,3,40
24,SALR,0,1,1,0,0,0,0,0,3,3,41
25,SALR,0,1,1,0,0,0,0,0,3,3,42
26,SALR,0,1,1,0,0,0,0,0,3,3,43
27,SALR,0,1,1,0,0,0,0,0,2,2,44
28,SALR,0,1,1,0,0,0,0,0,2,2,45
29,SALR,0,1,1,0,0,0,0,0,2,2,46
30,SALR,0,1,1,0,0,0,0,0,3,3,47
31,SALR,0,1,1,0,0,0,0,0,3,3,48
32,SALR,0,1,1,0,0,0,0,0,3,3,49
33,SALR,0,1,1,0,0,0,0,0,4,4,50
34,SALR,0,1,1,0,0,0,0,0,4,4,51
35,SALR,0,1,1,0,0,0,0,0,5,5,52
36,SALR,0,1,1,0,0,0,0,0,4,4,53
37,SALR,0,1,1,0,0,0,0,0,4,4,54
38,SALR,0,1,1,0,0,0,0,0,4,4,55
39,SALR,0,1,1,0,0,0,0,0,4,4,56
40,SALR,0,1,1,0,0,0,0,0,3,3,57
41,SALR,0,1,1,0,0,0,0,0,3,3,58
42,SALR,0,1,1,0,0,0,0,0,3,3,59
43,SALR,0,1,1,0,0,0,0,0,4,4,60
44,SALR,0,1,1,0,0,0,0,0,3,3,61
45,SALR,0,1,1,0,0,0,0,0,4,4,62
46,SALR,0,1,1,0,0,0,0,0,2,2,63
47,SALR,0,1,1,0,0,0,0,0,3,3,64
48,SALR,0,1,1,0,0,0,0,0,2,2,65
49,SALR,0,1,1,0,0,0,0,0,4,4,66
50,SALR,0,1,1,0,0,0,0,0,1,1,67
51,SALR,0,1,1,0,0,0,0,0,3,3,68
52,SALR,0,1,1,0,0,0,0,0,3,3,69
53,SALR,0,1,1,0,0,0,0,0,4,4,70
54,SALR,0,1,1,0,0,0,0,0,4,4,71
55,SALR,0,1,1,0,0,0,0,0,5,5,72
56,SALR,0,1,1,0,0,0,0,0,5,5,73
57,SALR,0,1,1,0,0,0,0,0,4,4,74
58,SALR,0,1,1,0,0,0,0,0,4,4,75
59,SALR,0,1,1,0,0,0,0,0,5,5,76
60,SALR,0,1,1,0,0,0,0,0,3,3,76
61,SALR,0,1,1,0,0,0,0,0,5,5,77
62,SALR,0,1,1,0,0,0,0,0,4,4,78
63,SALR,0,1,1,0,0,0,0,0,6,6,79
64,SALR,0,1,1,0,0,0,0,0,6,6,80
65,SALR,0,1,1,0,0,0,0,0,6,6,81
66,SALR,0,1,1,0,0,0,0,0,4,4,81
67,SALR,0,1,1,0,0,0,0,0,6,6,82
68,SALR,0,1,1,0,0,0,0,0,6,6,83
69,SALR,0,1,1,0,0,0,0,0,7,7,84
70,SALR,0,1,1,0,0,0,0,0,5,5,85
71,SALR,0,1,1,0,0,0,0,0,6,6,86
72,SALR,0,1,1,0,0,0,0,0,4,4,87
73,SALR,0,1,1,0,0,0,0,0,7,7,88
74,SALR,0,1,1,0,0,0,0,0,6,6,89
75,SALR,0,1,1,0,0,0,0,0,6,6,90
76,SALR,0,1,1,0,0,0,0,0,5,5,91
77,SALR,0,1,1,0,0,0,0,0,4,4,92
78,SALR,0,1,1,0,0,0,0,0,4,4,93
79,SALR,0,1,1,0,0,0,0,0,3,3,94
80,SALR,0,1,1,0,0,0,0,0,2,2,95
81,SALR,0,1,1,0,0,0,0,0,3,3,96
82,SALR,0,1,1,0,0,0,0,0,3,3,97
83,SALR,0,1,1,0,0,0,0,0,4,4,98
84,SALR,0,1,1,0,0,0,0,0,4,4,99
85,SALR,0,1,1,0,0,0,0,0,5,5,100
86,SALR,0,1,1,0,0,0,0,0,4,4,101
87,SALR,0,1,1,0,0,0,0,0,4,4,102
88,SALR,0,1,1,0,0,0,0,0,4,4,103
89,SALR,0,1,1,0,0,0,0,0,3,3,104
90,SALR,0,1,1,0,0,0,0,0,3,3,105
91,SALR,0,1,1,0,0,0,0,0,5,5,106
92,SALR,0,1,1,0,0,0,0,0,3,3,107
93,SALR,0,1,1,0,0,0,0,0,4,4,108
94,SALR,0,1,1,0,0,0,0,0,3,3,109
95,SALR,0,1,1,0,0,0,0,0,5,5,110
96,SALR,0,1,1,0,0,0,0,0,3,3,110
97,SALR,0,1,1,0,0,0,0,0,5,5,111
98,SALR,0,1,1,0,0,0,0,0,4,4,112
99,SALR,0,1,1,0,0,0,0,0,5,5,113
100,SALR,0,1,1,0,0,0,0,0,5,5,114
101,SALR,0,1,1,0,0,0,0,0,6,6,115
102,SALR,0,1,1,0,0,0,0,0,6,6,116
103,SALR,0,1,1,0,0,0,0,0,6,6,116
104,SALR,0,1,1,0,0,0,0,0,7,7,117
105,SALR,0,1,1,0,0,0,0,0,8,8,118
106,SALR,0,1,1,0,0,0,0,0,7,7,119
107,SALR,0,1,1,0,0,0,0,0,8,8,120
108,SALR,0,1,1,0,0,0,0,0,5,5,121
109,SALR,0,1,1,0,0,0,0,0,7,7,122
110,SALR,0,1,1,0,0,0,0,0,7,7,123
111,SALR,0,1,1,0,0,0,0,0,8,8,124
112,SALR,0,1,1,0,0,0,0,0,6,6,125
113,SALR,0,1,1,0,0,0,0,0,7,7,125
114,SALR,0,1,1,0,0,0,0,0,5,5,126
115,SALR,0,1,1,0,0,0,0,0,6,6,126
116,SALR,0,1,1,0,0,0,0,0,5,5,126
117,SALR,0,1,1,0,0,0,0,0,7,7,127
118,SALR,0,1,1,0,0,0,0,0,7,7,128
119,SALR,0,1,1,0,0,0,0,0,9,9,129
120,SALR,0,1,1,0,0,0,0,0,9,9,130
121,SALR,0,1,1,0,0,0,0,0,10,10,131
122,SALR,0,1,1,0,0,0,0,0,9,9,131
123,SALR,0,1,1,0,0,0,0,0,8,8,131
124,SALR,0,1,1,0,0,0,0,0,9,9,132
125,SALR,0,1,1,0,0,0,0,0,10,10,133
126,SALR,0,1,1,0,0,0,0,0,7,7,134
