time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,1,5,11,0,0,0,0,0,15,15,19
2,SALR,1,5,11,0,0,0,0,0,9,9,19
3,SALR,1,5,11,0,0,0,0,0,4,4,19
4,SALR,1,5,11,0,0,0,0,0,4,4,19
5,SALR,1,5,11,0,0,0,0,0,13,13,30
6,SALR,1,5,11,0,0,0,0,0,10,10,29
7,SALR,1,5,11,0,0,0,0,0,6,6,29
8,SALR,1,5,11,0,0,0,0,0,5,5,29
9,SALR,1,5,11,0,0,0,0,0,4,4,29
10,SALR,1,5,11,0,0,0,0,0,14,14,40
11,SALR,1,5,11,0,0,0,0,0,9,9,40
12,SALR,1,5,11,0,0,0,0,0,7,7,40
13,SALR,1,5,11,0,0,0,0,0,3,3,40
14,SALR,1,5,11,0,0,0,0,0,3,3,40
15,SALR,1,5,11,0,0,0,0,0,13,13,51
16,SALR,1,5,11,0,0,0,0,0,13,13,51
17,SALR,1,5,11,0,0,0,0,0,10,10,51
18,SALR,1,5,11,0,0,0,0,0,9,9,51
19,SALR,1,5,11,0,0,0,0,0,7,7,51
20,SALR,1,5,11,0,0,0,0,0,17,17,62
21,SALR,1,5,11,0,0,0,0,0,10,10,62
22,SALR,1,5,11,0,0,0,0,0,6,6,62
23,SALR,1,5,11,0,0,0,0,0,3,3,62
24,SALR,1,5,11,0,0,0,0,0,3,3,62
25,SALR,1,5,11,0,0,0,0,0,12,12,73
26,SALR,1,5,11,0,0,0,0,0,8,8,73
27,SALR,1,5,11,0,0,0,0,0,6,6,73
28,SALR,1,5,11,0,0,0,0,0,4,4,73
29,SALR,1,5,11,0,0,0,0,0,2,2,73
30,SALR,1,5,11,0,0,0,0,0,13,13,84
31,SALR,1,5,11,0,0,0,0,0,8,8,82
32,SALR,1,5,11,0,0,0,0,0,8,8,82
33,SALR,1,5,11,0,0,0,0,0,5,5,82
34,SALR,1,5,11,0,0,0,0,0,4,4,82
35,SALR,1,5,11,0,0,0,0,0,14,14,93
36,SALR,1,5,11,0,0,0,0,0,12,12,92
37,SALR,1,5,11,0,0,0,0,0,7,7,92
38,SALR,1,5,11,0,0,0,0,0,4,4,92
39,SALR,1,5,11,0,0,0,0,0,3,3,92
40,SALR,1,5,11,0,0,0,0,0,15,15,103
41,SALR,1,5,11,0,0,0,0,0,12,12,103
42,SALR,1,5,11,0,0,0,0,0,10,10,103
43,SALR,1,5,11,0,0,0,0,0,6,6,103
44,SALR,1,5,11,0,0,0,0,0,5,5,103
45,SALR,1,5,11,0,0,0,0,0,14,14,114
46,SALR,1,5,11,0,0,0,0,0,15,15,114
47,SALR,1,5,11,0,0,0,0,0,12,12,114
48,SALR,1,5,11,0,0,0,0,0,10,10,114
49,SALR,1,5,11,0,0,0,0,0,6,6,114
50,SALR,1,5,11,0,0,0,0,0,18,18,125
51,SALR,1,5,11,0,0,0,0,0,14,14,124
52,SALR,1,5,11,0,0,0,0,0,10,10,124
53,SALR,1,5,11,0,0,0,0,0,4,4,124
54,SALR,1,5,11,0,0,0,0,0,4,4,124
55,SALR,1,5,11,0,0,0,0,0,14,14,135
56,SALR,1,5,11,0,0,0,0,0,13,13,135
57,SALR,1,5,11,0,0,0,0,0,8,8,135
58,SALR,1,5,11,0,0,0,0,0,8,8,135
59,SALR,1,5,11,0,0,0,0,0,7,7,135
60,SALR,1,5,11,0,0,0,0,0,18,18,146
61,SALR,1,5,11,0,0,0,0,0,13,13,145
62,SALR,1,5,11,0,0,0,0,0,9,9,145
63,SALR,1,5,11,0,0,0,0,0,6,6,145
64,SALR,1,5,11,0,0,0,0,0,6,6,145
65,SALR,1,5,11,0,0,0,0,0,16,16,156
66,SALR,1,5,11,0,0,0,0,0,12,12,156
67,SALR,1,5,11,0,0,0,0,0,8,8,156
68,SALR,1,5,11,0,0,0,0,0,5,5,156
69,SALR,1,5,11,0,4,0,0,0,5,9,156
70,SALR,1,5,11,0,4,0,0,0,15,19,167
71,SALR,1,5,11,0,4,0,0,0,11,15,166
72,SALR,1,5,11,0,7,0,0,0,7,14,166
73,SALR,1,5,11,0,6,1,0,0,7,14,166
74,SALR,1,5,11,0,6,1,0,0,7,14,166
75,SALR,1,5,11,0,7,0,0,0,17,24,177
76,SALR,1,5,11,0,7,0,0,0,12,19,177
77,SALR,1,5,11,0,7,0,0,0,11,18,177
78,SALR,1,5,11,0,7,0,0,0,7,14,177
79,SALR,1,5,11,0,7,0,0,0,7,14,177
80,SALR,1,5,11,0,7,0,0,0,18,25,188
81,SALR,1,5,11,0,7,0,0,0,15,22,185
82,SALR,1,5,11,0,6,1,0,0,12,19,185
83,SALR,1,5,11,0,7,1,0,0,10,18,185
84,SALR,1,5,11,0,8,1,0,0,10,19,185
85,SALR,1,5,11,0,8,1,0,0,21,30,196
86,SALR,1,5,11,0,7,2,0,0,14,23,195
87,SALR,1,5,11,0,8,1,0,0,11,20,194
88,SALR,1,5,11,0,8,1,0,0,10,19,194
89,SALR,1,5,11,0,8,0,0,0,9,17,194
90,SALR,1,5,11,0,8,0,0,0,19,27,205
91,SALR,1,5,11,0,8,0,0,0,14,22,204
92,SALR,1,5,11,0,7,1,0,0,12,20,204
93,SALR,1,5,11,0,7,1,0,0,12,20,204
94,SALR,1,5,11,0,7,1,0,0,10,18,204
95,SALR,1,5,11,0,7,1,0,0,21,29,215
96,SALR,1,5,11,0,7,1,0,0,17,25,214
97,SALR,1,5,11,0,7,1,0,0,11,19,214
98,SALR,1,5,11,0,6,2,0,0,8,16,214
99,SALR,1,5,11,0,6,2,0,0,7,15,214
100,SALR,1,5,11,0,0,0,6,2,18,26,225
101,SALR,1,5,11,0,0,0,6,2,13,21,224
102,SALR,1,5,11,0,0,0,6,2,13,21,224
103,SALR,1,5,11,0,0,0,6,2,10,18,224
104,SALR,1,5,11,0,0,0,6,2,8,16,224
105,SALR,1,5,11,0,0,0,6,2,21,29,235
106,SALR,1,5,11,0,0,0,6,2,17,25,235
107,SALR,1,5,11,0,0,0,6,2,15,23,235
108,SALR,1,5,11,0,0,0,6,2,13,21,235
109,SALR,1,5,11,0,0,0,6,2,10,18,235
110,SALR,1,5,11,0,0,0,6,2,20,28,246
111,SALR,1,5,11,0,0,0,6,2,20,28,245
112,SALR,1,5,11,0,1,0,5,3,14,23,245
113,SALR,1,5,11,0,1,0,5,3,9,18,245
114,SALR,1,5,11,0,1,0,5,3,7,16,245
115,SALR,1,5,11,0,1,0,4,4,19,28,256
116,SALR,1,5,11,0,1,0,5,4,15,25,255
117,SALR,1,5,11,0,1,0,6,3,14,24,255
118,SALR,1,5,11,0,1,0,5,4,9,19,255
119,SALR,1,5,11,0,1,0,4,5,7,17,255
120,SALR,1,5,11,0,1,0,4,4,18,27,266
121,SALR,1,5,11,0,0,1,5,3,16,25,266
122,SALR,1,5,11,0,0,1,4,4,13,22,266
123,SALR,1,5,11,0,0,1,4,4,12,21,266
124,SALR,1,5,11,0,0,0,4,5,10,19,266
125,SALR,1,5,11,0,0,0,4,5,22,31,277
126,SALR,1,5,11,0,0,0,4,5,17,26,275
127,SALR,1,5,11,0,0,0,4,5,13,22,275
128,SALR,1,5,11,0,0,0,4,5,10,19,275
129,SALR,1,5,11,0,0,0,4,5,8,17,275
130,SALR,1,5,11,0,0,0,4,5,18,27,286
131,SALR,1,5,11,0,0,0,4,5,13,22,286
132,SALR,1,5,11,0,0,0,4,5,10,19,286
133,SALR,1,5,11,0,0,0,4,5,13,22,286
134,SALR,1,5,11,0,0,0,4,5,9,18,285
135,SALR,1,5,11,0,0,0,3,4,21,28,296
136,SALR,1,5,11,0,3,2,1,1,15,22,295
137,SALR,1,5,11,0,3,1,1,1,17,23,295
138,SALR,1,5,11,0,3,1,1,1,13,19,294
139,SALR,1,5,11,0,5,1,1,1,11,19,292
140,SALR,1,5,11,0,5,1,1,1,20,28,303
141,SALR,1,5,11,0,5,1,1,1,20,28,303
