time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,20
2,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,21
3,tolbiac-Italie,1,1,1,0,0,0,0,0,6,6,22
4,tolbiac-Italie,1,1,1,0,0,0,0,0,6,6,23
5,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,24
6,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,25
7,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,26
8,tolbiac-Italie,1,1,1,0,0,0,1,0,4,5,27
9,tolbiac-Italie,1,1,1,0,0,0,1,0,4,5,28
10,tolbiac-Italie,1,1,1,0,0,0,1,0,4,5,29
11,tolbiac-Italie,1,1,1,0,0,0,1,0,3,4,30
12,tolbiac-Italie,1,1,1,0,0,0,1,0,4,5,31
13,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,32
14,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,33
15,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,34
16,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,35
17,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,36
18,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,37
19,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,38
20,tolbiac-Italie,1,1,1,0,0,0,1,0,1,2,39
21,tolbiac-Italie,1,1,1,0,0,0,1,0,1,2,40
22,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,41
23,tolbiac-Italie,1,1,1,0,0,0,1,0,1,2,42
24,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,43
25,tolbiac-Italie,1,1,1,0,0,0,1,0,2,3,44
26,tolbiac-Italie,1,1,1,0,0,0,1,0,3,4,45
27,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,46
28,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,47
29,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,48
30,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,49
31,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,50
32,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,51
33,tolbiac-Italie,1,1,1,0,2,0,1,0,4,7,52
34,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,53
35,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,54
36,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,55
37,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,56
38,tolbiac-Italie,1,1,1,0,2,0,1,0,4,7,57
39,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,58
40,tolbiac-Italie,1,1,1,0,2,0,1,0,3,6,59
41,tolbiac-Italie,1,1,1,0,1,0,1,0,2,4,60
42,tolbiac-Italie,1,1,1,0,1,0,1,0,2,4,61
43,tolbiac-Italie,1,1,1,0,1,0,1,0,3,5,62
44,tolbiac-Italie,1,1,1,0,1,0,1,0,3,5,63
45,tolbiac-Italie,1,1,1,0,1,0,1,0,3,5,64
46,tolbiac-Italie,1,1,1,0,0,0,1,0,5,6,65
47,tolbiac-Italie,1,1,1,0,0,0,1,0,6,7,66
48,tolbiac-Italie,1,1,1,0,0,0,1,0,6,7,67
49,tolbiac-Italie,1,1,1,0,0,0,1,0,7,8,68
